time,event,patient_id,Nq,Ns,c,regime,policy_activated
114.39950921298421,arrival,128,31,4,4,overload,0
114.41595309529546,arrival,129,32,4,4,overload,0
115.32106510270991,arrival,130,33,4,4,overload,0
115.61798840812139,arrival,131,34,4,4,overload,0
115.98729585041039,arrival,132,35,4,4,overload,0
116.10466135220355,departure,96,36,4,4,overload,0
116.10466135220355,service_start,97,35,4,4,overload,0
116.82560599592878,departure,95,35,4,4,overload,0
116.82560599592878,service_start,98,34,4,4,overload,0
116.88818572079043,departure,83,34,4,4,overload,0
116.88818572079043,service_start,99,33,4,4,overload,0
116.96343360658413,arrival,133,33,4,4,overload,0
117.39690808579505,arrival,134,34,4,4,overload,0
117.40798903631274,arrival,135,35,4,4,overload,0
117.84940006475628,departure,98,36,4,4,overload,0
117.84940006475628,service_start,100,35,4,4,overload,0
118.05506336025842,departure,94,35,4,4,overload,0
118.05506336025842,service_start,101,34,4,4,overload,0
118.22175835348105,arrival,136,34,4,4,overload,0
118.6498742940054,departure,97,35,4,4,overload,0
118.6498742940054,service_start,102,34,4,4,overload,0
118.95735001831532,departure,100,34,4,4,overload,0
118.95735001831532,service_start,103,33,4,4,overload,0
119.32184222507162,departure,99,33,4,4,overload,0
119.32184222507162,service_start,104,32,4,4,overload,0
119.35098089822702,arrival,137,32,4,4,overload,0
119.6599279309979,arrival,138,33,4,4,overload,0
120.19759021830268,departure,104,34,4,5,overload,1
120.19759021830268,service_start,105,33,4,5,overload,1
120.35182921627508,arrival,139,33,4,5,overload,1
120.35182921627508,service_start,139,33,5,5,overload,1
120.91904951338887,arrival,140,33,5,5,overload,1
120.97917899048743,departure,105,34,5,5,overload,1
120.97917899048743,service_start,106,33,5,5,overload,1
121.29262779950899,arrival,141,33,5,5,overload,1
122.27080833980125,departure,102,34,5,5,overload,1
122.27080833980125,service_start,107,33,5,5,overload,1
122.48858196898573,departure,103,33,5,5,overload,1
122.48858196898573,service_start,108,32,5,5,overload,1
122.50875439533263,arrival,142,32,5,5,overload,1
123.76372116834426,arrival,143,33,5,5,overload,1
124.37484383132518,arrival,144,34,5,5,overload,1
124.44556398739569,departure,107,35,5,5,overload,1
124.44556398739569,service_start,109,34,5,5,overload,1
124.47346181262178,departure,109,34,5,5,overload,1
124.47346181262178,service_start,110,33,5,5,overload,1
124.69633853551466,arrival,145,33,5,5,overload,1
124.95168165418137,arrival,146,34,5,5,overload,1
125.18886423890278,departure,101,35,5,5,overload,1
125.18886423890278,service_start,111,34,5,5,overload,1
125.32437986825786,arrival,147,34,5,5,overload,1
125.51423350551806,arrival,148,35,5,5,overload,1
125.79342110119215,departure,106,36,5,5,overload,1
125.79342110119215,service_start,112,35,5,5,overload,1
126.01920560993787,arrival,149,35,5,5,overload,1
126.42567993861141,departure,111,36,5,5,overload,1
126.42567993861141,service_start,113,35,5,5,overload,1
126.50618812684668,arrival,150,35,5,5,overload,1
